JLCPCB Part #;MFR Part #;Library;Manufacturer;Stock;Price (1pc);Price (100pcs);Price (1000pcs);Datasheet URL;Power Rating;Type;Voltage Rating;Temperature Coefficient;Tolerance;Value;Footprint;Dielectric
C1523;0402B102K500NT;Basic;Fh (guangdong Fenghua Advanced tech);1815989;$0.0010;$0.0005;;https://www.lcsc.com/partdetail/1875-0402B102K500NT/C1523;;MLCC;50V;;±10%;1nF;402;X7R
C1525;CL05B104KO5NNNC;Basic;Samsung electro-mechanics;28052657;$0.0010;$0.0006;;https://www.lcsc.com/partdetail/1877-CL05B104KO5NNNC/C1525;;MLCC;16V;;±10%;100nF;402;X7R
C1530;0402B221K500NT;Basic;Fh (guangdong Fenghua Advanced tech);487769;$0.0010;$0.0006;;https://www.lcsc.com/partdetail/1882-0402B221K500NT/C1530;;MLCC;50V;;±10%;220pF;402;X7R
C1532;0402B223K500NT;Basic;Fh (guangdong Fenghua Advanced tech);346409;$0.0017;$0.0010;;https://www.lcsc.com/partdetail/1884-0402B223K500NT/C1532;;MLCC;50V;;±10%;22nF;402;X7R
C1538;0402B472K500NT;Basic;Fh (guangdong Fenghua Advanced tech);486281;$0.0010;$0.0005;;https://www.lcsc.com/partdetail/1890-0402B472K500NT/C1538;;MLCC;50V;;±10%;7nF;402;X7R
C1546;0402CG101J500NT;Basic;Fh (guangdong Fenghua Advanced tech);2293072;$0.0009;$0.0005;;https://www.lcsc.com/partdetail/1898-0402CG101J500NT/C1546;;MLCC;50V;;±5%;100pF;402;C0G
C1547;0402CG120J500NT;Basic;Fh (guangdong Fenghua Advanced tech);791408;$0.0010;$0.0006;;https://www.lcsc.com/partdetail/1899-0402CG120J500NT/C1547;;MLCC;50V;;±5%;12pF;402;C0G
C1548;0402CG150J500NT;Basic;Fh (guangdong Fenghua Advanced tech);841133;$0.0009;$0.0005;;https://www.lcsc.com/partdetail/1900-0402CG150J500NT/C1548;;MLCC;50V;;±5%;15pF;402;C0G
C1549;0402CG180J500NT;Basic;Fh (guangdong Fenghua Advanced tech);798856;$0.0010;$0.0005;;https://www.lcsc.com/partdetail/1901-0402CG180J500NT/C1549;;MLCC;50V;;±5%;18pF;402;C0G
C1554;0402CG200J500NT;Basic;Fh (guangdong Fenghua Advanced tech);1651774;$0.0009;$0.0005;;https://www.lcsc.com/partdetail/1906-0402CG200J500NT/C1554;;MLCC;50V;;±5%;20pF;402;C0G
